Plot,Subplot,Date,Surveyors,Active,Inactive,Maybe,Total,Notes
N33,6,8/11/2022,EG/LS,0,0,0,0,
M35,16,8/11/2022,EG/LS,0,0,0,0,
J10,14,7/5/2022,EG/LS,0,0,0,0,
D16,3,7/30/2022,EG/LS,0,2,0,2,
J20,23,7/8/2022,EG/LS,0,0,0,0,
F06,5,6/17/2022,EG/LS,0,0,0,0,
L23,16,6/23/2022,LS,0,0,1,1,
E05,13,7/13/2022,EG/LS/JM,0,0,0,0,
G18,13,6/28/2022,EG/LS,0,1,3,4,
L06,24,7/12/2022,EG/LS,2,1,1,4,
M25,12,6/22/2022,EG/LS,1,0,0,1,
E07,16,6/17/2022,EG/LS,0,0,0,0,
H04,25,7/24/2022,EG/LS/WH,0,0,0,0,
J06,21,7/12/2022,EG/LS,0,0,0,0,
M28,2,6/18/2022,EG/LS,0,5,3,8,
L27,24,6/22/2022,EG/LS,0,0,0,0,
G17,22,6/24/2022,EG/LS/AP,0,0,0,0,
I16,2,6/24/2022,EG/LS/AP,0,0,0,0,
I20,21,6/28/2022,EG/LS,0,2,0,2,
J31,13,8/13/2022,EG/LS,0,0,0,0,
E19,17,7/9/2022,EG/LS/JM,0,1,1,2,
D06,24,8/16/2022,EG/LS,0,0,0,0,
I10,22,7/5/2022,EG/LS,0,0,0,0,
H29,7,7/16/2022,EG/LS,0,0,0,0,
F15,18,7/28/2022,EG/LS/AP,0,0,0,0,
N04,1,7/22/2022,EG/LS,3,2,4,9,1 death
M25,24,6/22/2022,EG/LS,1,1,1,3,1 wing
J20,17,7/8/2022,EG/LS,0,0,0,0,1 death
N05,10,7/21/2022,EG/LS,6,2,1,9,3 deaths
L25,21,6/22/2022,EG/LS,1,0,0,1,
F07,16,6/17/2022,LS,0,0,0,0,
J03,17,7/24/2022,EG/LS/WH,0,0,0,0,
M22,12,6/23/2022,LS,9,7,9,25,1 pair wings
P29,17,7/13/2022,EG/LS/JM,0,0,0,0,
H05,21,7/13/2022,EG/LS,0,0,0,0,
J27,1,6/29/2022,EG/LS/JM,7,1,4,12,"4 wings, very fresh"
M01,12,8/15/2022,EG/LS,1,1,1,3,
I22,3,7/10/2022,EG/LS,0,0,0,0,
J34,22,8/13/2022,EG/LS,1,4,4,9,
G05,15,7/13/2022,EG/LS,0,0,0,0,
H31,2,8/13/2022,EG/LS,0,0,0,0,
N07,8,7/21/2022,EG/LS,0,0,0,0,near otter stream thing
M21,14,6/12/2022,LS,0,1,1,2,
L32,2,6/11/2022,LS,0,0,0,0,
M04,13,7/24/2022,EG/LS/WH,7,2,6,15,2 deaths
